precip,wind_max,day,weekday,month,monthday,hi,lo,humiditymod,wind,windir,eff_high,eff_low,spec,wind_low,wind_missile,wind_melee,wind_move,viz_day,viz_twi,viz_moon,viz_dark
No Precipitation,35,926,Thriceday,Harvest,27,75,55,78,35,Prevailing Direction,80,60,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
Trace Rain (<1/8 inch),45,927,Fourday,Harvest,28,70,55,87,45,Prevailing Direction,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,30,928,Freeday,Harvest,29,75,55,80,30,Prevailing Direction,80,60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Moderate Rain (<3/4 inch),20,929,Godsday,Harvest,30,80,60,83,20,Prevailing Direction,85,65,Normal,10,0/-1/-2/-3,-,-,150,100,25,15
Moderate Rain (<3/4 inch),30,930,Moonday,Ambyrwoodmoon,1,75,55,41,30,Prevailing Direction,80,55,Normal,15,-1/-2/-3/X,-1,0.75,150,100,25,15
No Precipitation,45,931,Twiceday,Ambyrwoodmoon,2,70,50,47,45,From Arctic,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Heavy Rain (<1.5 inch),35,932,Thriceday,Ambyrwoodmoon,3,70,55,43,35,Prevailing Direction,70,55,Normal,17.5,-2/-4/X/X,-3,2/3,50,30,15,10
No Precipitation,35,933,Fourday,Ambyrwoodmoon,4,70,55,60,35,Prevailing Direction,70,55,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,35,934,Freeday,Ambyrwoodmoon,5,70,55,51,35,Prevailing Direction,70,55,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
Heavy Rain (<1.5 inch),45,935,Godsday,Ambyrwoodmoon,6,65,45,58,45,From Arctic,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,50,30,15,10
No Precipitation,45,936,Moonday,Ambyrwoodmoon,7,70,50,53,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Moderate Rain (<3/4 inch),35,937,Twiceday,Ambyrwoodmoon,8,70,55,41,35,Prevailing Direction,70,55,Normal,17.5,-2/-4/X/X,-3,2/3,150,100,25,15
Moderate Rain (<3/4 inch),25,938,Thriceday,Ambyrwoodmoon,9,75,55,47,25,Prevailing Direction,80,55,Normal,12.5,-1/-2/-3/X,-1,0.75,150,100,25,15
No Precipitation,25,939,Fourday,Ambyrwoodmoon,10,75,55,51,25,Prevailing Direction,80,55,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,40,940,Freeday,Ambyrwoodmoon,11,70,50,59,40,From Arctic,70,50,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,40,941,Godsday,Ambyrwoodmoon,12,70,50,43,40,Prevailing Direction,70,50,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,942,Moonday,Ambyrwoodmoon,13,65,45,43,45,Prevailing Direction,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Moderate Rain (<3/4 inch),35,943,Twiceday,Ambyrwoodmoon,14,70,50,60,35,Prevailing Direction,70,50,Normal,17.5,-2/-4/X/X,-3,2/3,150,100,25,15
Moderate Rain (<3/4 inch),45,944,Thriceday,Ambyrwoodmoon,15,65,45,69,45,From Arctic,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,150,100,25,15
Moderate Rain (<3/4 inch),35,945,Fourday,Ambyrwoodmoon,16,70,50,49,35,Prevailing Direction,70,50,Normal,17.5,-2/-4/X/X,-3,2/3,150,100,25,15
Moderate Rain (<3/4 inch),25,946,Freeday,Ambyrwoodmoon,17,70,55,59,25,Prevailing Direction,70,55,Normal,12.5,-1/-2/-3/X,-1,0.75,150,100,25,15
Moderate Rain (<3/4 inch),15,947,Godsday,Ambyrwoodmoon,18,75,55,46,15,Prevailing Direction,80,60,Normal,7.5,0/-1/-2/-3,-,-,150,100,25,15
Heavy Rain (<1.5 inch),5,948,Moonday,Ambyrwoodmoon,19,80,60,52,5,Prevailing Direction,85,65,Normal,2.5,-,-,-,50,30,15,10
No Precipitation,5,949,Twiceday,Ambyrwoodmoon,20,80,60,62,5,Prevailing Direction,85,65,Normal,2.5,-,-,-,500,300,50,25
No Precipitation,5,950,Thriceday,Ambyrwoodmoon,21,80,60,51,5,Prevailing Direction,85,65,Normal,2.5,-,-,-,500,300,50,25
No Precipitation,0,951,Fourday,Ambyrwoodmoon,22,80,65,62,0,Indescernable,85,70,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,952,Freeday,Ambyrwoodmoon,23,80,60,60,15,Prevailing Direction,85,65,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,15,953,Godsday,Ambyrwoodmoon,24,80,60,56,15,Prevailing Direction,85,65,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,0,954,Moonday,Ambyrwoodmoon,25,80,65,67,0,Indescernable,85,70,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,955,Twiceday,Ambyrwoodmoon,26,80,65,58,0,Indescernable,85,70,Normal,0,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),0,956,Thriceday,Ambyrwoodmoon,27,85,65,51,0,Indescernable,95,70,Normal,0,-,-,-,50,30,15,10
No Precipitation,0,957,Fourday,Ambyrwoodmoon,28,80,65,65,0,Indescernable,85,70,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,958,Freeday,Ambyrwoodmoon,29,85,65,60,0,Indescernable,95,70,Normal,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),0,959,Godsday,Ambyrwoodmoon,30,85,65,62,0,Indescernable,95,70,Normal,0,-,-,-,150,100,25,15
Trace Rain (<1/8 inch),0,960,Moonday,Wintermoon,1,85,65,83,0,Indescernable,100,75,Normal,0,-,-,-,400,250,50,25
Moderate Rain (<3/4 inch),10,961,Twiceday,Wintermoon,2,80,60,72,10,From Arctic,90,70,Normal,5,-,-,-,150,100,25,15
Light Rain (<1/2 inch),20,962,Thriceday,Wintermoon,3,75,55,86,20,Prevailing Direction,80,60,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
Light Rain (<1/2 inch),10,963,Fourday,Wintermoon,4,80,60,87,10,Prevailing Direction,90,70,Normal,5,-,-,-,400,250,50,25
No Precipitation,25,964,Freeday,Wintermoon,5,75,55,78,25,Prevailing Direction,80,60,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,10,965,Godsday,Wintermoon,6,80,60,71,10,Prevailing Direction,90,70,Normal,5,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),0,966,Moonday,Wintermoon,7,80,65,71,0,Indescernable,90,75,Normal,0,-,-,-,150,100,25,15
Light Rain (<1/2 inch),10,967,Twiceday,Wintermoon,8,80,60,88,10,Prevailing Direction,90,70,Normal,5,-,-,-,400,250,50,25
Light Rain (<1/2 inch),0,968,Thriceday,Wintermoon,9,85,65,89,0,Indescernable,100,75,Normal,0,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),10,969,Fourday,Wintermoon,10,80,65,74,10,Prevailing Direction,90,75,Normal,5,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),0,970,Freeday,Wintermoon,11,85,65,81,0,Indescernable,100,75,Normal,0,-,-,-,400,250,50,25
No Precipitation,15,971,Godsday,Wintermoon,12,80,60,87,15,Prevailing Direction,90,70,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,0,972,Moonday,Wintermoon,13,85,65,74,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,973,Twiceday,Wintermoon,14,85,65,78,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,974,Thriceday,Wintermoon,15,85,65,78,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
Trace Rain (<1/8 inch),0,975,Fourday,Wintermoon,16,85,65,86,0,Indescernable,100,75,Normal,0,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),10,976,Freeday,Wintermoon,17,80,65,71,10,Prevailing Direction,90,75,Normal,5,-,-,-,400,250,50,25
No Precipitation,0,977,Godsday,Wintermoon,18,85,65,78,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,15,978,Moonday,Wintermoon,19,80,60,80,15,Prevailing Direction,90,70,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,0,979,Twiceday,Wintermoon,20,80,65,82,0,Indescernable,90,75,Normal,0,-,-,-,500,300,50,25
Light Rain (<1/2 inch),10,980,Thriceday,Wintermoon,21,80,60,83,10,Prevailing Direction,90,70,Normal,5,-,-,-,400,250,50,25
Light Rain (<1/2 inch),20,981,Fourday,Wintermoon,22,75,55,76,20,Prevailing Direction,80,60,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
Moderate Rain (<3/4 inch),10,982,Freeday,Wintermoon,23,80,60,78,10,Prevailing Direction,90,70,Normal,5,-,-,-,150,100,25,15
Trace Rain (<1/8 inch),0,983,Godsday,Wintermoon,24,85,65,74,0,Indescernable,100,75,Normal,0,-,-,-,400,250,50,25
Light Rain (<1/2 inch),0,984,Moonday,Wintermoon,25,85,65,80,0,Indescernable,100,75,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,985,Twiceday,Wintermoon,26,85,65,90,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,986,Thriceday,Wintermoon,27,85,65,89,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
Trace Rain (<1/8 inch),10,987,Fourday,Wintermoon,28,80,65,72,10,Prevailing Direction,90,75,Normal,5,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),0,988,Freeday,Wintermoon,29,85,65,78,0,Indescernable,100,75,Normal,0,-,-,-,400,250,50,25
No Precipitation,0,989,Godsday,Wintermoon,30,80,65,83,0,Indescernable,90,75,Normal,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),10,990,Moonday,Bloodmoon,1,80,60,83,10,Prevailing Direction,90,70,Normal,5,-,-,-,150,100,25,15
Moderate Rain (<3/4 inch),0,991,Twiceday,Bloodmoon,2,80,65,83,0,Indescernable,90,75,Normal,0,-,-,-,150,100,25,15
No Precipitation,0,992,Thriceday,Bloodmoon,3,80,60,88,0,Indescernable,90,70,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,993,Fourday,Bloodmoon,4,80,60,90,0,Indescernable,90,70,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,994,Freeday,Bloodmoon,5,80,65,71,0,Indescernable,90,75,Normal,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),0,995,Godsday,Bloodmoon,6,80,65,90,0,Indescernable,90,75,Normal,0,-,-,-,150,100,25,15
Heavy Rain (<1.5 inch),0,996,Moonday,Bloodmoon,7,80,65,76,0,Indescernable,90,75,Normal,0,-,-,-,50,30,15,10
No Precipitation,15,997,Twiceday,Bloodmoon,8,75,55,84,15,Prevailing Direction,85,65,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Heavy Rain (<1.5 inch),25,998,Thriceday,Bloodmoon,9,70,50,80,25,From Arctic,75,50,Normal,12.5,-1/-2/-3/X,-1,0.75,50,30,15,10
No Precipitation,25,999,Fourday,Bloodmoon,10,70,50,88,25,Prevailing Direction,75,50,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,40,1000,Freeday,Bloodmoon,11,65,45,72,40,Prevailing Direction,65,45,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
Moderate Rain (<3/4 inch),45,1001,Godsday,Bloodmoon,12,65,45,88,45,Prevailing Direction,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,150,100,25,15
Moderate Rain (<3/4 inch),35,1002,Moonday,Bloodmoon,13,70,55,79,35,From Tropics,75,60,Normal,17.5,-2/-4/X/X,-3,2/3,150,100,25,15
Heavy Rain (<1.5 inch),45,1003,Twiceday,Bloodmoon,14,65,45,79,45,From Arctic,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,50,30,15,10
Heavy Rain (<1.5 inch),35,1004,Thriceday,Bloodmoon,15,70,50,77,35,Prevailing Direction,75,50,Normal,17.5,-2/-4/X/X,-3,2/3,50,30,15,10
Moderate Rain (<3/4 inch),45,1005,Fourday,Bloodmoon,16,65,45,73,45,From Arctic,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,150,100,25,15
Heavy Rain (<1.5 inch),45,1006,Freeday,Bloodmoon,17,65,45,89,45,Prevailing Direction,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,50,30,15,10
No Precipitation,30,1007,Godsday,Bloodmoon,18,70,55,71,30,Prevailing Direction,75,60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Heavy Rain (<1.5 inch),20,1008,Moonday,Bloodmoon,19,75,55,75,20,Prevailing Direction,80,60,Normal,10,0/-1/-2/-3,-,-,50,30,15,10
No Precipitation,5,1009,Twiceday,Bloodmoon,20,80,60,84,5,Prevailing Direction,90,70,Normal,2.5,-,-,-,500,300,50,25
Heavy Rain (<1.5 inch),0,1010,Thriceday,Bloodmoon,21,80,65,71,0,Indescernable,90,75,Normal,0,-,-,-,50,30,15,10
No Precipitation,15,1011,Fourday,Bloodmoon,22,70,55,83,15,From Arctic,80,65,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Moderate Rain (<3/4 inch),25,1012,Freeday,Bloodmoon,23,70,50,72,25,Prevailing Direction,75,50,Normal,12.5,-1/-2/-3/X,-1,0.75,150,100,25,15
No Precipitation,40,1013,Godsday,Bloodmoon,24,65,45,88,40,Prevailing Direction,65,45,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,40,1014,Moonday,Bloodmoon,25,70,50,88,40,Prevailing Direction,70,50,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
Heavy Rain (<1.5 inch),45,1015,Twiceday,Bloodmoon,26,65,45,71,45,From Arctic,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,50,30,15,10
No Precipitation,45,1016,Thriceday,Bloodmoon,27,70,50,79,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Heavy Rain (<1.5 inch),45,1017,Fourday,Bloodmoon,28,65,45,85,45,Prevailing Direction,65,45,Normal,22.5,-2/-4/X/X,-3,2/3,50,30,15,10
No Precipitation,30,1018,Freeday,Bloodmoon,29,70,55,86,30,Prevailing Direction,75,60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,45,1019,Godsday,Bloodmoon,30,70,50,79,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Light Rain (<1/2 inch),45,1020,Moonday,Jola,1,70,50,80,45,From Arctic,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,30,1021,Twiceday,Jola,2,80,60,87,30,From Tropics,85,65,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Trace Rain (<1/8 inch),40,1022,Thriceday,Jola,3,70,55,86,40,From Arctic,70,55,Normal,20,-2/-4/X/X,-3,2/3,400,250,50,25
Trace Rain (<1/8 inch),30,1023,Fourday,Jola,4,75,55,86,30,Prevailing Direction,80,60,Normal,15,-1/-2/-3/X,-1,0.75,400,250,50,25
No Precipitation,15,1024,Freeday,Jola,5,80,60,79,15,Prevailing Direction,90,70,Normal,7.5,0/-1/-2/-3,-,-,500,300,50,25
Light Rain (<1/2 inch),5,1025,Godsday,Jola,6,85,65,86,5,From Tropics,100,75,Normal,2.5,-,-,-,400,250,50,25
Moderate Rain (<3/4 inch),15,1026,Moonday,Jola,7,80,65,90,15,Prevailing Direction,90,75,Normal,7.5,0/-1/-2/-3,-,-,150,100,25,15
Trace Rain (<1/8 inch),5,1027,Twiceday,Jola,8,85,65,75,5,Prevailing Direction,100,75,Normal,2.5,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),15,1028,Thriceday,Jola,9,80,60,79,15,From Arctic,90,70,Normal,7.5,0/-1/-2/-3,-,-,400,250,50,25
No Precipitation,0,1029,Fourday,Jola,10,80,65,79,0,Indescernable,90,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,1030,Freeday,Jola,11,80,65,88,0,Indescernable,90,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,1031,Godsday,Jola,12,80,65,78,0,Indescernable,90,75,Normal,0,-,-,-,500,300,50,25
Light Rain (<1/2 inch),0,1032,Moonday,Jola,13,85,65,73,0,Indescernable,100,75,Normal,0,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),0,1033,Twiceday,Jola,14,85,65,80,0,Indescernable,100,75,Normal,0,-,-,-,400,250,50,25
Light Rain (<1/2 inch),10,1034,Thriceday,Jola,15,80,60,77,10,From Arctic,90,70,Normal,5,-,-,-,400,250,50,25
No Precipitation,0,1035,Fourday,Jola,16,80,65,75,0,Indescernable,90,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,1036,Freeday,Jola,17,80,65,89,0,Indescernable,90,75,Normal,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),10,1037,Godsday,Jola,18,75,55,89,10,From Arctic,85,65,Normal,5,-,-,-,150,100,25,15
No Precipitation,25,1038,Moonday,Jola,19,70,55,88,25,Prevailing Direction,75,60,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
Trace Rain (<1/8 inch),15,1039,Twiceday,Jola,20,80,60,82,15,From Tropics,90,70,Normal,7.5,0/-1/-2/-3,-,-,400,250,50,25
Moderate Rain (<3/4 inch),0,1040,Thriceday,Jola,21,85,65,73,0,Indescernable,100,75,Normal,0,-,-,-,150,100,25,15
Moderate Rain (<3/4 inch),0,1041,Fourday,Jola,22,85,65,88,0,Indescernable,100,75,Normal,0,-,-,-,150,100,25,15
No Precipitation,0,1042,Freeday,Jola,23,80,65,78,0,Indescernable,90,75,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,1043,Godsday,Jola,24,80,65,75,0,Indescernable,90,75,Normal,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),65,1044,Moonday,Jola,25,70,55,81,65,Prevailing,70,55,Gale,32.5,-4/-6/X/X,-4,0.5,150,100,25,15
No Precipitation,45,1045,Twiceday,Jola,26,70,55,87,45,Prevailing Direction,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Moderate Rain (<3/4 inch),45,1046,Thriceday,Jola,27,70,50,77,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,150,100,25,15
No Precipitation,45,1047,Fourday,Jola,28,70,50,89,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,30,1048,Freeday,Jola,29,75,55,90,30,Prevailing Direction,80,60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,45,1049,Godsday,Jola,30,70,50,72,45,From Arctic,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Moderate Rain (<3/4 inch),45,1050,Moonday,Aftjola,1,70,50,51,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,150,100,25,15
Moderate Rain (<3/4 inch),45,1051,Twiceday,Aftjola,2,70,50,42,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,150,100,25,15
No Precipitation,45,1052,Thriceday,Aftjola,3,70,50,47,45,From Arctic,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,1053,Fourday,Aftjola,4,70,55,51,45,Prevailing Direction,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Moderate Rain (<3/4 inch),35,1054,Freeday,Aftjola,5,80,60,68,35,From Tropics,85,60,Normal,17.5,-2/-4/X/X,-3,2/3,150,100,25,15
No Precipitation,20,1055,Godsday,Aftjola,6,80,65,50,20,Prevailing Direction,85,65,Normal,10,0/-1/-2/-3,-,-,500,300,50,25
No Precipitation,35,1056,Moonday,Aftjola,7,75,55,65,35,From Arctic,80,55,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,35,1057,Twiceday,Aftjola,8,75,55,67,35,Prevailing Direction,80,55,Normal,17.5,-2/-4/X/X,-3,2/3,500,300,50,25
Heavy Rain (<1.5 inch),45,1058,Thriceday,Aftjola,9,70,55,57,45,Prevailing Direction,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,50,30,15,10
No Precipitation,30,1059,Fourday,Aftjola,10,80,60,69,30,From Tropics,85,60,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Moderate Rain (<3/4 inch),40,1060,Freeday,Aftjola,11,70,55,70,40,From Arctic,70,55,Normal,20,-2/-4/X/X,-3,2/3,150,100,25,15
No Precipitation,40,1061,Godsday,Aftjola,12,70,55,62,40,Prevailing Direction,70,55,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,1062,Moonday,Aftjola,13,70,50,62,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,1063,Twiceday,Aftjola,14,70,55,55,45,Prevailing Direction,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,1064,Thriceday,Aftjola,15,70,50,45,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,1065,Fourday,Aftjola,16,70,55,68,45,Prevailing Direction,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Heavy Rain (<1.5 inch),35,1066,Freeday,Aftjola,17,75,55,67,35,Prevailing Direction,80,55,Normal,17.5,-2/-4/X/X,-3,2/3,50,30,15,10
Moderate Rain (<3/4 inch),25,1067,Godsday,Aftjola,18,80,65,43,25,From Tropics,85,65,Normal,12.5,-1/-2/-3/X,-1,0.75,150,100,25,15
Heavy Rain (<1.5 inch),35,1068,Moonday,Aftjola,19,80,60,53,35,Prevailing Direction,85,60,Normal,17.5,-2/-4/X/X,-3,2/3,50,30,15,10
Moderate Rain (<3/4 inch),45,1069,Twiceday,Aftjola,20,75,55,52,45,Prevailing Direction,75,55,Normal,22.5,-2/-4/X/X,-3,2/3,150,100,25,15
Heavy Rain (<1.5 inch),45,1070,Thriceday,Aftjola,21,70,50,46,45,From Arctic,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,50,30,15,10
Heavy Rain (<1.5 inch),35,1071,Fourday,Aftjola,22,70,55,42,35,Prevailing Direction,70,55,Normal,17.5,-2/-4/X/X,-3,2/3,50,30,15,10
Heavy Rain (<1.5 inch),45,1072,Freeday,Aftjola,23,70,50,70,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,50,30,15,10
No Precipitation,45,1073,Godsday,Aftjola,24,70,50,63,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Heavy Rain (<1.5 inch),45,1074,Moonday,Aftjola,25,70,50,59,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,50,30,15,10
No Precipitation,45,1075,Twiceday,Aftjola,26,70,50,44,45,Prevailing Direction,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,1076,Thriceday,Aftjola,27,70,55,45,45,Prevailing Direction,70,55,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,45,1077,Fourday,Aftjola,28,70,50,60,45,From Arctic,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,500,300,50,25
Heavy Rain (<1.5 inch),45,1078,Freeday,Aftjola,29,70,50,62,45,From Arctic,70,50,Normal,22.5,-2/-4/X/X,-3,2/3,50,30,15,10
No Precipitation,30,1079,Godsday,Aftjola,30,75,55,59,30,Prevailing Direction,80,55,Normal,15,-1/-2/-3/X,-1,0.75,500,300,50,25
Trace Rain (<1/8 inch),40,1080,Moonday,Springmoon,1,70,55,90,40,Prevailing Direction,70,55,Normal,20,-2/-4/X/X,-3,2/3,400,250,50,25
No Precipitation,40,1081,Twiceday,Springmoon,2,75,55,75,40,Prevailing Direction,80,55,Normal,20,-2/-4/X/X,-3,2/3,500,300,50,25
No Precipitation,25,1082,Thriceday,Springmoon,3,80,60,89,25,Prevailing Direction,85,65,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,25,1083,Fourday,Springmoon,4,80,60,83,25,Prevailing Direction,85,65,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
Moderate Rain (<3/4 inch),0,1084,Freeday,Springmoon,5,90,70,89,0,Indescernable,105,80,Heatwave,0,-,-,-,150,100,25,15
No Precipitation,0,1085,Godsday,Springmoon,6,90,70,85,0,Indescernable,105,80,Heatwave,0,-,-,-,500,300,50,25
Trace Rain (<1/8 inch),0,1086,Moonday,Springmoon,7,90,70,74,0,Indescernable,105,80,Heatwave,0,-,-,-,400,250,50,25
No Precipitation,0,1087,Twiceday,Springmoon,8,85,70,78,0,Indescernable,100,80,Normal,0,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),10,1088,Thriceday,Springmoon,9,85,65,81,10,Prevailing Direction,100,75,Normal,5,-,-,-,150,100,25,15
Light Rain (<1/2 inch),20,1089,Fourday,Springmoon,10,80,65,86,20,Prevailing Direction,85,70,Normal,10,0/-1/-2/-3,-,-,400,250,50,25
Trace Rain (<1/8 inch),10,1090,Freeday,Springmoon,11,85,65,73,10,Prevailing Direction,100,75,Normal,5,-,-,-,400,250,50,25
No Precipitation,0,1091,Godsday,Springmoon,12,85,70,82,0,Indescernable,100,80,Normal,0,-,-,-,500,300,50,25
No Precipitation,0,1092,Moonday,Springmoon,13,85,65,80,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
Trace Rain (<1/8 inch),0,1093,Twiceday,Springmoon,14,85,70,80,0,Indescernable,100,80,Normal,0,-,-,-,400,250,50,25
Trace Rain (<1/8 inch),10,1094,Thriceday,Springmoon,15,80,65,86,10,From Arctic,90,75,Normal,5,-,-,-,400,250,50,25
Moderate Rain (<3/4 inch),0,1095,Fourday,Springmoon,16,85,70,90,0,Indescernable,100,80,Morning Mist/Fog: 1 hours,0,-,-,-,150,100,25,15
Light Rain (<1/2 inch),10,1096,Freeday,Springmoon,17,85,65,84,10,Prevailing Direction,100,75,Normal,5,-,-,-,400,250,50,25
No Precipitation,25,1097,Godsday,Springmoon,18,80,65,75,25,Prevailing Direction,85,70,Normal,12.5,-1/-2/-3/X,-1,0.75,500,300,50,25
No Precipitation,10,1098,Moonday,Springmoon,19,85,70,87,10,From Tropics,100,80,Normal,5,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),20,1099,Twiceday,Springmoon,20,85,65,73,20,Prevailing Direction,95,70,Normal,10,0/-1/-2/-3,-,-,150,100,25,15
Trace Rain (<1/8 inch),10,1100,Thriceday,Springmoon,21,85,70,88,10,From Tropics,100,80,Normal,5,-,-,-,400,250,50,25
No Precipitation,10,1101,Fourday,Springmoon,22,85,65,87,10,Prevailing Direction,100,75,Normal,5,-,-,-,500,300,50,25
No Precipitation,10,1102,Freeday,Springmoon,23,85,65,73,10,Prevailing Direction,100,75,Normal,5,-,-,-,500,300,50,25
Moderate Rain (<3/4 inch),0,1103,Godsday,Springmoon,24,85,70,79,0,Indescernable,100,80,Evening Mist/Fog: 5 hours,0,-,-,-,150,100,25,15
No Precipitation,0,1104,Moonday,Springmoon,25,85,65,85,0,Indescernable,100,75,Normal,0,-,-,-,500,300,50,25
